ing1,ing2,src
spinach,amaranth greens,https://foodsubs.com/ingredients/spinach
spinach,beet greens,https://foodsubs.com/ingredients/spinach
spinach,turnip greens,https://foodsubs.com/ingredients/spinach
spinach,kale,https://foodsubs.com/ingredients/spinach
spinach,sorrel,https://foodsubs.com/ingredients/spinach
chicken,tofu,https://foodsubs.com/ingredients/chicken
chicken,turkey,https://foodsubs.com/ingredients/chicken
chicken,potato,https://www.unileverfoodsolutions.com.sg/en/chef-inspiration/year-of-the-golden-rooster/vegetarian-friendly-chicken-substitutes.html
chicken,seitan,https://www.unileverfoodsolutions.com.sg/en/chef-inspiration/year-of-the-golden-rooster/vegetarian-friendly-chicken-substitutes.html
